user_id,session_type,question_number,difficulty,is_correct,user_answer
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,0,1,True,ArrayList can change size dynamically
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,1,2,True,It creates a larger internal array and copies elements
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,2,3,True,Getting an element by index
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,3,2,True,10
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,arraylist,4,4,True,When handling business logic for flexibility with an unknown or dynamically changing size (such as managing items in a user's e-commerce shopping cart) and needing built-in functionality like sorting or filtering.
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,0,1,True,A base case
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,1,2,False,It returns 0
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,2,3,True,The call stack
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,3,2,False,9
1N7UGUGuQHhcaUyk5AnPXTVxsDd2,recursion,4,3,True,n == 0 or n == 1
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,0,1,True,ArrayList can change size dynamically
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,1,2,True,It creates a larger internal array and copies elements
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,2,3,True,Getting an element by index
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,3,2,True,10
2cjI20Jq7PYlvEozFwC9A1koWYG3,arraylist,4,4,True,When handling business logic for flexibility with an unknown or dynamically changing size (such as managing items in a user's e-commerce shopping cart) and needing built-in functionality like sorting or filtering.
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,0,1,True,A base case
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,1,2,True,It runs forever until stack overflow
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,2,3,True,The call stack
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,3,2,True,6
2cjI20Jq7PYlvEozFwC9A1koWYG3,recursion,4,3,False,n == 0
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,0,1,False,ArrayList can only store integers
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,1,2,False,It stops accepting new elements
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,2,3,True,Getting an element by index
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,3,2,False,100
2gu7Ew3WFuME2poY733nrLDG6oh2,arraylist,4,4,True,When handling business logic for flexibility with an unknown or dynamically changing size (such as managing items in a user's e-commerce shopping cart) and needing built-in functionality like sorting or filtering.
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,0,1,True,A base case
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,1,2,True,It runs forever until stack overflow
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,2,3,True,The call stack
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,3,2,False,12
2gu7Ew3WFuME2poY733nrLDG6oh2,recursion,4,3,False,n == 0
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,0,1,True,ArrayList can change size dynamically
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,1,2,False,It throws an error
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,2,3,True,Getting an element by index
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,3,2,False,0
2vunfpisHmM5VbtDlhDmIwc3xU32,arraylist,4,4,False,"When storing a fixed number of elements whose maximum size is known at compile time and will not change, such as the 12 months of the year or 7 days of the week."
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,0,1,True,A base case
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,1,2,True,It runs forever until stack overflow
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,2,3,True,The call stack
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,3,2,False,3
2vunfpisHmM5VbtDlhDmIwc3xU32,recursion,4,3,False,n == 0
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,0,1,True,ArrayList can change size dynamically
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,1,2,False,It stops accepting new elements
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,2,3,False,Adding an element at the beginning
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,3,2,False,0
3UffSYWwSYT49RFDHcvUB5KtoXi1,arraylist,4,4,False,When implementing direct memory mapping with fixed buffer sizes for low-level hardware interfacing.
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,0,1,True,A base case
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,1,2,True,It runs forever until stack overflow
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,2,3,True,The call stack
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,3,2,True,6
3UffSYWwSYT49RFDHcvUB5KtoXi1,recursion,4,3,False,n == 0
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,0,1,True,ArrayList can change size dynamically
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,1,2,True,It creates a larger internal array and copies elements
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,2,3,True,Getting an element by index
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,3,2,False,1
4fkXnQD0eogEhmMR7gILBGmVTnN2,arraylist,4,4,False,When implementing direct memory mapping with fixed buffer sizes for low-level hardware interfacing.
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,0,1,True,A base case
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,1,2,False,It returns 0
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,2,3,True,The call stack
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,3,2,True,6
4fkXnQD0eogEhmMR7gILBGmVTnN2,recursion,4,3,False,n < 0
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,0,1,True,ArrayList can change size dynamically
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,1,2,True,It creates a larger internal array and copies elements
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,2,3,True,Getting an element by index
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,3,2,False,0
4j3q4ExCuPWAUynzXiAlr6ucB8U2,arraylist,4,4,True,When handling business logic for flexibility with an unknown or dynamically changing size (such as managing items in a user's e-commerce shopping cart) and needing built-in functionality like sorting or filtering.
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,0,1,True,ArrayList can change size dynamically
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,1,2,False,It stops accepting new elements
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,2,3,True,Getting an element by index
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,3,2,False,100
8FArll2EzIVIkMtZUzAz1TTYsE42,arraylist,4,4,True,When handling business logic for flexibility with an unknown or dynamically changing size (such as managing items in a user's e-commerce shopping cart) and needing built-in functionality like sorting or filtering.
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,0,1,False,A loop
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,1,2,False,It returns 0
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,2,3,True,The call stack
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,3,2,False,3
8FArll2EzIVIkMtZUzAz1TTYsE42,recursion,4,3,False,n < 0
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,0,1,True,ArrayList can change size dynamically
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,1,2,True,It creates a larger internal array and copies elements
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,2,3,True,Getting an element by index
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,3,2,True,10
8WXvj2Se6NWVg3o0t5LWRcdtZR23,arraylist,4,4,True,When handling business logic for flexibility with an unknown or dynamically changing size (such as managing items in a user's e-commerce shopping cart) and needing built-in functionality like sorting or filtering.
